datetime,sw_radiation,temp_2m,cloud_cover
2020-06-07T04:00,0.0,27.1,95
2020-06-07T05:00,0.0,27.1,94
2020-06-07T06:00,0.019,27.2,98
2020-06-07T07:00,0.159,28.1,95
2020-06-07T08:00,0.37,29.8,97
2020-06-07T09:00,0.572,31.7,99
2020-06-07T10:00,0.747,33.6,99
2020-06-07T11:00,0.795,34.9,98
2020-06-07T12:00,0.877,36.0,84
2020-06-07T13:00,0.863,36.9,97
2020-06-07T14:00,0.782,37.1,97
2020-06-07T15:00,0.653,37.3,98
2020-06-07T16:00,0.43,37.0,99
2020-06-07T17:00,0.2,36.9,99
2020-06-07T18:00,0.062,35.5,98
2020-06-07T19:00,0.001,33.9,98
2020-06-07T20:00,0.0,33.1,97
2020-06-07T21:00,0.0,32.1,97
2020-06-07T22:00,0.0,31.3,97
2020-06-07T23:00,0.0,30.7,92
2020-06-08T00:00,0.0,30.4,95
2020-06-08T01:00,0.0,29.8,91
2020-06-08T02:00,0.0,29.0,88
2020-06-08T03:00,0.0,28.4,90
2020-06-08T04:00,0.0,27.8,76
2020-06-08T05:00,0.0,27.4,95
2020-06-08T06:00,0.015,27.6,45
2020-06-08T07:00,0.128,28.3,38
2020-06-08T08:00,0.337,29.9,43
2020-06-08T09:00,0.549,31.9,62
2020-06-08T10:00,0.596,33.2,60
2020-06-08T11:00,0.796,35.4,34
2020-06-08T12:00,0.865,36.6,81
2020-06-08T13:00,0.872,37.6,85
2020-06-08T14:00,0.767,38.2,92
2020-06-08T15:00,0.605,38.1,98
2020-06-08T16:00,0.401,37.7,99
2020-06-08T17:00,0.209,37.1,98
2020-06-08T18:00,0.056,36.6,99
2020-06-08T19:00,0.001,36.0,99
2020-06-08T20:00,0.0,34.4,97
2020-06-08T21:00,0.0,33.8,96
2020-06-08T22:00,0.0,33.0,86
2020-06-08T23:00,0.0,32.4,99
2020-06-09T00:00,0.0,31.5,98
2020-06-09T01:00,0.0,30.4,100
2020-06-09T02:00,0.0,29.5,95
2020-06-09T03:00,0.0,28.8,95
2020-06-09T04:00,0.0,28.2,96
2020-06-09T05:00,0.0,28.0,93
2020-06-09T06:00,0.018,27.9,92
2020-06-09T07:00,0.15,28.4,94
2020-06-09T08:00,0.338,29.8,97
2020-06-09T09:00,0.439,31.2,100
2020-06-09T10:00,0.589,33.0,93
2020-06-09T11:00,0.828,35.0,100
2020-06-09T12:00,0.853,36.4,100
2020-06-09T13:00,0.839,37.6,100
2020-06-09T14:00,0.721,38.0,99
2020-06-09T15:00,0.646,38.2,96
2020-06-09T16:00,0.42,37.7,100
